,X_validate,y_validate
40,たとえば今日本の若者文化のシンボルと言えば私はなんとなくロリータファッションを頭に浮かべました,たとえば今日本の若者文化のシンボルと言えば私はなんとなくロリータファッションを頭に浮かべました
41,明日は日本からの友たちにこの町を案内してあげるから今日わたしと代わる人を見つけなきゃいけない,明日は日本からの友たちにこの町を案内してあげるから今日わたしと代わる人を見つけないといけない
42,先生は刘伯温からもらった紺の菊花を手に持ってみたところ花の色もいいし咲き遅れというもののやはり咲いたものなのでもしかしたら刘伯温が大器晩成となるのし上がるのが遅いという兆しかもしれない,先生は刘伯温からもらった紺の菊花をお持ちになったところ花の色もいいし咲き遅れというもののやはり咲いたものなのでもしかしたら刘伯温が大器晩成となるのし上がるのが遅いという兆しかもしれません
43,日本のみへのレアアース輸出の禁止wto違反や日本関係の通関手続きの妨害とかもしていた原因でもあると思います,日本のみへのレアアース輸出の禁止wto違反や日本関係の通関手続きの妨害などもしていた原因でもあると思います
44,僕にとってそういう勉強する方法で言葉を完璧に覚えられるわけではないけれどankiのおかげで言葉の意味の種を僕の頭に植えられる,僕にとってそういう勉強する方法で言葉を完璧に覚えられるわけではありませんがankiのおかげで言葉の意味の種を僕の頭に植えられます
45,新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません,新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません
46,皆さんはthomas alfa edisonトーマスアルファエジソンをしっていますか,皆さんはthomas alfa edisonトーマスアルファエジソンをしっていますか
47,いいアイデアが一つあったら金持ちになれますよと言った人がいる,いいアイデアが一つあったら金持ちになれますよと言った人がいます
48,ケーキもあればビールもありました皆酒に酔うとゲームをしていました有名なゲーム[本当な話大冒険]他人の内緒を知りたいことは皆の興味ですね,ケーキもあればビールもありました皆酒に酔うとゲームをしていました有名なゲーム[本当な話大冒険]他人の内緒を知りたいことは皆の興味ですね
49,自分を守るために知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません,自分を守るために知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません
50,私は高校三年生だもうすぐ大学入学試験があるから毎日勉強しなければならない大変です,私は高校三年生ですもうすぐ大学入学試験があるから毎日勉強しなければいけません大変です
51,他の東南アジア諸国は元中国軍に対して危機感をつのらせており近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると聞いています,他の東南アジア諸国は元中国軍に対して危機感をつのらせており近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると聞いています
52,対応のため約0分遅延した,対応のため約0分遅延しました
53,小南さん(古天樂さんの役です)と小米さん二人は大学時代からずっとお互いに愛しているけど結末は二人は一緒になりませんでした,小南さん(古天樂さんの役です)と小米さん二人は大学時代からずっとお互いに愛していますが結末は二人は一緒になりませんでした
54,国内のメディアも管理されて過激な言論はいっさい禁止されています,国内のメディアも管理されて過激な言論はいっさい禁止されています
55,海で泳ぐのは最高波に乗ってサーフィンもしたい,海で泳ぐのは一番良い気分ですね波に乗ってサーフィンもしてみたいです
56,この週末はアメリカにいる最後だから私の友達と家族と遊んでいるんですが時間が止まったようです,この週末はアメリカにいる最後ですから私の友達と家族と遊んでいるのですが時間が止まったようです
57,日本に未発売の海外のコスメをサンフランシスコに行く予定があるので教えて下さい,日本に未発売の海外のコスメをサンフランシスコに行く予定があるので教えて下さい
58,王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間にうちに戻った,王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間にうちに戻られました
59,そしてネット上であの船長は工作員だとかの見方も出てきました,そしてネット上であの船長は工作員だとかの見方も出てきました
60,日本人にとって何が面白いwith japanese what is funny ?,日本人にとって何が面白いですかwith japanese what is funny ?
61,それもかたにはまらないスタイルをもってオートバイを運転する,それもかたにはまらないスタイルをお持ちになってオートバイを運転されます
62,だから私はmanga moodsと呼ばれる別の本を借りました,ですから私はmanga moodsと呼ばれる別の本を借りました
63,実はね私も一年ぐらい日本語の勉強をしましたでもあんまりできません,実はね私も一年ぐらい日本語の勉強をしましたでもあんまりできません
64,ここで気をつけなければならないところは日本の法律はアメリカと同じです今度の事件は日本国内法の手順で完全に裁判されました,ここで気をつけなければならないところは日本の法律はアメリカと同じです今度の事件は日本国内法の手順で完全に裁判されました
65,軍事行為を諦めない通告が報道された後もう一つの日本の国内ニュースを考えてください,軍事行為を諦めない通告が報道された後もう一つの日本の国内ニュースを考えてください
66,メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは有名で色なテーマパークで遊べる所です,メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは有名で色なテーマパークで遊べる所です
67,一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが全然うまく歌えませんでした,一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが全然うまく歌えませんでした
68,新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません,新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません
69,菅首相が小沢氏に圧勝0対0(0.0.0),菅首相が小沢氏に圧勝0対0(0.0.0)
70,旅行している時に迷ったら........北海道はいつもきれいなところだと思います,旅行している時に迷ったら........北海道はいつもきれいなところだと思います
71,日本に未発売の海外のコスメをサンフランシスコに行く予定があるので教えて下さい,日本に未発売の海外のコスメをサンフランシスコに行く予定があるので教えて下さい
72,それに足の内部に痺れがあるので水俣病を持っている人は歩けなかった,それに足の内部に痺れがあるので水俣病を持っている人は歩けませんでした
73,その時たろうは心の中でつぶやいた本当の冒険は想像を超えるものなんだな,その時太郎は心の中でつぶやきました本当の冒険は想像を超えるものなんだな
74,残念ながら数年ほど前に最後の一匹は老齢のため亡くなりました,残念ながら数年ほど前に最後の一匹は老齢のため亡くなりました
75,それだけならまだいいですけど一番怖いのはコンクールの日は学校の全員の前で歌わなければなりません,それだけならまだいいですけど一番怖いのはコンクールの日は学校の全員の前で歌わなければなりません
76,ほかのユーザによって自分のアカウントで添削した箇所に関してのコメントを見ることができないことを指摘されました,ほかのユーザによって自分のアカウントで添削した箇所に関してのコメントを見ることができないことを指摘されました
77,例えばまだヤンキーが人気な反抗の文化でアメリカの`yankee'という単語から作られる,例えばまだヤンキーが人気な反抗の文化でアメリカの`yankee'という単語から作られます
78,今日わたしはえいがかんでインビクタスという映画を見に行きました,今日わたしはえいがかんでインビクタスという映画を見に行きました
79,施耐庵に対しそんな頑固な性格によりやられるのではないかと心配してやまない,施耐庵に対しそんな頑固な性格によりやられるのではないかと心配してやみません
80,ハノイで行われたヒェン・ツクさんのライブショーに参加したばかりだがサイゴン・ラブ・ストーリーの俳優のフア・ビー・バンはもうすぐ開催される上海国際フィルムフェスティバルの準備で忙しそうだ,ハノイで行われたヒェン・ツクさんのライブショーに参加したばかりですがサイゴン・ラブ・ストーリーの俳優のフア・ビー・バンはもうすぐ開催される上海国際フィルムフェスティバルの準備で忙しそうです
81,そして私の一番の夢はタイへ行ってタイ語で現地の人と交流することです,そして私の一番の夢はタイへ行ってタイ語で現地の人と交流することです
82,口を開けた途端マイクに故障があるようで変な音が出てきました,口を開けた途端マイクに故障があるようで変な音が出てきました
83,ケーキもあればビールもありました皆酒に酔うとゲームをしていました有名なゲーム[本当な話大冒険]他人の内緒を知りたいことは皆の興味ですね,ケーキもあればビールもありました皆酒に酔うとゲームをしていました有名なゲーム[本当な話大冒険]他人の内緒を知りたいことは皆の興味ですね
84,でもある時成功するために私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく気もよくいらいらする人になります,でもある時成功するために私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく気もよくいらいらする人になります
85,でも信用がありましたからついにedisonは沢山必要な物をはつめいしました,でも信用がありましたからついにedisonは沢山必要な物をはつめいしました
86,さらにアメリカの最低賃金は先進国の中で最も低い賃金の一つだ,さらにアメリカの最低賃金は先進国の中で最も低い賃金の一つです
87,それは花嫁のご両親にされた障害を克服しながら愛を証明するという意味です,それは花嫁のご両親にされた障害を克服しながら愛を証明するという意味です
88,翻訳は難しいというのがわかっていますけど私自身も翻訳日ー中の授業があるので宿題とかもやっています,翻訳は難しいというのがわかっていますけど私自身も翻訳日ー中の授業があるので宿題などもやっています
89,正直に言うと私は音痴の上にたくさんの人の前で大声で話すことさえできませんでした,正直に言うと私は音痴の上にたくさんの人の前で大声で話すことさえできませんでした
90,実は私は両国の若者ともある程度自分の国の伝統文化をゆるがせにしていると思っています,実は私は両国の若者ともある程度自分の国の伝統文化をゆるがせにしていると思っています
91,実はね私も一年ぐらい日本語の勉強をしましたでもあんまりできません,実はね私も一年ぐらい日本語の勉強をしましたでもあまりできません
92,それは彼女を迎えに行ったせいでテレビを見れなかったので怒りました,それは彼女を迎えに行ったせいでテレビを見られなかったので怒りました
93,帰る途中私達は天津の有名なお菓子耳の目という揚げ餅を買いました,帰る途中私達は天津の有名なお菓子耳の目という揚げ餅を買いました
94,昨日私は近い川に行った時涼しい水に足を置いて石に座りました,昨日私は近い川に行った時涼しい水に足を置いて石に座りました
95,というわけで中訳と原作をちょっと比較してみると中訳はたしかに村上春樹さんの書いたように書いてあるんですけどたぶん原作を忠実に再現するつもりだったかなと思いました,というわけで中訳と原作をちょっと比較してみると中訳はたしかに村上春樹さんの書いたように書いてあるのですけどたぶん原作を忠実に再現するつもりだったかなと思いました
96,pmに助けを求めてサーバー管理とアカウント管理について日本側の担当者と連携して一緒に開発環境を守りました,pmに助けを求めてサーバー管理とアカウント管理について日本側の担当者と連携して一緒に開発環境を守りました
97,何と不思議なことに虎たちは兵士たちと民衆たちに加害もせず一目散に虎のキングを伴って開封府の大堂についた,何と不思議なことに虎たちは兵士たちと民衆たちに加害もせず一目散に虎のキングを伴って開封府の大堂につきました
98,以下のようなフレーズがあります自分を信じるわや宝くじ当たったの,以下のようなフレーズがあります自分を信じるわや宝くじ当たったの
99,ある日夏休みの最後の日たろうとゆうたは森に冒険しに行くことにした,ある日夏休みの最後の日太郎と裕太は森に冒険しに行くことにしました
100,いつか私たちの東洋的な若者文化はきっと世界中でブームになります,いつか私たちの東洋的な若者文化はきっと世界中でブームになります
101,お客さんが皆入れるように大きいレストランとダンスホールを予約しておきました,お客さんが皆入れるように大きいレストランとダンスホールを予約しておきました
102,今日は両国のリーダーがやっとコミュニケーションをとったそうです,今日は両国のリーダーがやっとコミュニケーションをとられたそうです
103,昨日チェコのスロウプスコ・ショシューフスケー洞に遠足しました,昨日チェコのスロウプスコ・ショシューフスケー洞に遠足しました
104,学生の時といわず社会人の時といわず私は穏やかで気品のある話し方をする人であることが変わりません,学生の時といわず社会人の時といわず私は穏やかで気品のある話し方をする人であることが変わりません
105,昨日チェコのスロウプスコ・ショシューフスケー洞に遠足しました,昨日チェコのスロウプスコ・ショシューフスケー洞に遠足しました
106,また日本のロックバンド及びミュージシャンから始まって過激で派手な化粧や髪型衣装などを特徴としているヴィジュアル系も私はどうしても受け入れられません,また日本のロックバンド及びミュージシャンから始まって過激で派手な化粧や髪型衣装などを特徴としているヴィジュアル系も私はどうしても受け入れられません
107,本地の書店でいろいろな辞書を見ましたがいい辞典はなさそうです,本地の書店でいろいろな辞書を見ましたがいい辞典はなさそうです
108,やはり言葉を身につけると世界が広がったり考えも変わったりしますよね,やはり言葉を身につけると世界が広がったり考えも変わったりしますよね
109,実はわが国では出かけるときカバンを持って行く習慣がないと思う,実はわが国では出かけるときカバンを持って行く習慣がないと思います
110,たとえびんぼうな家族でも希望がありましたからついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました,たとえびんぼうな家族でも希望がありましたからついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました
111,お医者さんに会ったけど彼はあなたは元気ですがティーンエイジャーだからいつも眠いのですねと言いました,お医者さんにお会いしましたが彼はあなたは元気ですがティーンエイジャーだからいつも眠いのですねとおっしゃいました
112,なぜそう名づけたかというと彼の飼い主は回文が好きだからです,なぜそう名づけたかというと彼の飼い主は回文が好きだからです
113,i work as an assistant teacherは日本語でなんと言うのでしょうか,i work as an assistant teacherは日本語でなんと言うのでしょうか
114,私たちは五日間過ごした最初の三日間は雨が非常に降って大変でした,私たちは五日間過ごしました最初の三日間は雨が非常に降って大変でした
115,中国が仕事で中国へ出向いていたフジタの社員を逮捕した上さらに船長を解放しなければ軍事的行為も辞さないと通告,中国が仕事で中国へ出向いていたフジタの社員を逮捕した上さらに船長を解放しなければ軍事的行為も辞さないと通告しました
116,この文章はキャノン杯スピーチ特訓班の発表のテーマとして書いています,この文章はキャノン杯スピーチ特訓班の発表のテーマとして書いています
117,私の仕事は技術サポータなので今週も休暇をとることができません,私の仕事は技術サポータなので今週も休暇をとることができません
118,毎日授業が終わった後一人でcdを聞いて歌詞を暗記しました,毎日授業が終わった後一人でcdを聞いて歌詞を暗記しました
119,僕はたちばなで食べていた時ホステスとシェフの会話が分かってうれしかった,僕はたちばなで食べていた時ホステスとシェフの会話が分かってうれしかったです
120,今両国ともはやっている萌え文化とかツッコミ文化には私もすごく興味があります,今両国ともはやっている萌え文化とかツッコミ文化には私もとても興味があります
121,だいがくのクラブのjapanese student association (jsa)がホストです,だいがくのクラブのjapanese student association (jsa)がホストです
122,初期の映画から今のドラマアニメテレビゲーム及び一部の電子製品に至るまで日本文化の影響が至る所に見られています,初期の映画から今のドラマアニメテレビゲーム及び一部の電子製品に至るまで日本文化の影響が至る所に見られています
123,国内の皆さんもそれを知っていると思います実は国内で今回の中国政府の抗議しかしないやり方が弱いと批判されています,国内の皆さんもそれを知っていると思います実は国内で今回の中国政府の抗議しかしないやり方が弱いと批判されています
124,口を開けた途端マイクに故障があるようで変な音が出てきました,口を開けた途端マイクに故障があるようで変な音が出てきました
125,皆さんに京劇という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら皆さんはどう答えるつもりですか,皆さんに京劇という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら皆さんはどう答えるつもりですか
126,次の日も結婚式は続いていましたが私は大きい音楽で頭痛がしたので帰りました,次の日も結婚式は続いていましたが私は大きい音楽で頭痛がしたので帰りました
127,乗り物とアトラクションのほかに公園の中には多くのファストフードと土産店もあります,乗り物とアトラクションのほかに公園の中には多くのファストフードと土産店もあります
128,アメリカの給料レポートによるとアメリカのceoの給料は労働者の0倍の給料だということだ,アメリカの給料レポートによるとアメリカのceoの給料は労働者の0倍の給料だということです
129,そして0時くらいに喫茶店でレーシャルとジョノサンとベルに会いました,そして0時くらいに喫茶店でレーシャルとジョノサンとベルに会いました
130,カバンを持っている人はたぶんいろいろなものを入れておくと便利だと考える節があるがもう一つは若い者は衣服を飾ることだと思う,カバンを持っている人はたぶんいろいろなものを入れておくと便利だと考える節がありますがもう一つは若い者は衣服を飾ることだと思います
131,私は日本語がとても好きですそして私はここでしばしば書くつもりです,私は日本語がとても好きですそして私はここでしばしば書くつもりです
132,うれしい限りですが知らない言葉はまだいっぱいありますので辞書を引くのは相変わらず必要なぐらいでした,うれしい限りですが知らない言葉はまだいっぱいありますので辞書を引くのは相変わらず必要なぐらいでした
133,勉強すればするほど難しいと思いますとよく聞いたが今ならこのセンテンスはちょっとだけわかるようになった,勉強すればするほど難しいと思いますとよく聞きましたが今ならこのセンテンスは少しだけわかるようになりました
134,みんながこの世の中に使命を負わなければならないと思っています,みんながこの世の中に使命を負わなければならないと思っています
135,アメリカのceoと生産労働者の総年収の格差は大きすぎるそのシステムはおかしくないだろうか,アメリカのceoと生産労働者の総年収の格差は大きすぎますそのシステムはおかしくないだろうか
136,馬の名前はbissenpuntomayとcappiです,馬の名前はbissen punto mayとcappiです
137,突然床に不明な嘔吐されたものを見つけましたプリンの食欲がだんだん少なくなって病気になって入院しました,突然床に不明な嘔吐されたものを見つけましたプリンの食欲がだんだん少なくなって病気になって入院しました
138,たろうはいつものように古い本を探していると棚の奥から一冊のボロボロした本を見つけた,太郎はいつものように古い本を探していると棚の奥から一冊のボロボロした本を見つけました
139,私たちはこの学期の毎土曜日の午後に体育館のバドミントンの場所を予約しているので今日からそこに行けます,私たちはこの学期の毎土曜日の午後に体育館のバドミントンの場所を予約しているので今日からそこに行けます
140,地下鉄に乗る時お年寄りとか中年の人とか若者とか学生とか誰でもカバンを持っていることだった,地下鉄に乗る時お年寄りとか中年の人とか若者とか学生とか誰でもカバンを持っていることでした
141,今日は最初のポストを送りましたそして五人がすぐに答えました,今日は最初のポストを送りましたそして五人がすぐに答えました
142,日本のロリータファッションとかヴィジュアル系とか外国人の私としてはちょっと理解しがたい文化は中国にもあります,日本のロリータファッションとかヴィジュアル系とか外国人の私としてはちょっと理解しがたい文化は中国にもあります
143,西洋人にとって愛情はすべて......先生はそう言ったけど実際の状況は本当にそうなのか,西洋人にとって愛情はすべて......先生はそうおっしゃいましたが実際の状況は本当にそうなのでしょうか
144,その公園の中で多くのアトラクションと乗り物を楽しむことができるのでオーストラリアの中でその公園は一番すごいそうです,その公園の中で多くのアトラクションと乗り物を楽しむことができるのでオーストラリアの中でその公園は一番すごいそうです
145,私たちはますます自国の伝統文化を失っているのではないかと友達が私にそういいました,私たちはますます自国の伝統文化を失っているのではないかと友達が私にそういいました
146,でもそのイベントの前からチッソ株式会社は継続的に汚染していた,でもそのイベントの前からチッソ株式会社は継続的に汚染していました
147,私の一番好きなテレビ番組はtorchwoodとdoctor whoです,私の一番好きなテレビ番組はtorchwoodとdoctor whoです
148,そして二人は新しい冒険のためにまた次の夏休みを楽しみにした,そして二人は新しい冒険のためにまた次の夏休みを楽しみにしました
149,ヤンキーのリーダーはせんぱいでこうはいはせんぱいに話す時に敬語を使わなければならない,ヤンキーのリーダーはせんぱいでこうはいはせんぱいに話す時に敬語を使わなければなりません
150,漢字でかくことがはじめてですだから間違いなく誤記が有ります,漢字でかくことがはじめてですだから間違いなく誤記が有ります
151,私は高校三年生だもうすぐ大学入学試験があるから毎日勉強しなければならない大変です,私は高校三年生だもうすぐ大学入学試験があるから毎日勉強しなければならない大変です
152,福山と柴崎はもちろん好きだし北村一輝と松雪泰子も昔から気に入る俳優で一緒に出演していて嬉しかったです,福山と柴崎はもちろん好きだし北村一輝と松雪泰子も昔から気に入る俳優で一緒に出演していて嬉しかったです
153,そして彼は戦争の後両国はすぐ仲直りすることも予言しました,そして彼は戦争の後両国はすぐ仲直りすることも予言しました
154,おばあちゃんのせりふの半分以上わかんないというときは少なくなかったよ,おばあちゃんのせりふの半分以上わからないというときは少なくなかったですよ
155,帰ったあと兄はインターネットで買うのはどうだと言いました僕は一度もインターネットで買い物をした経験がないからすべてを兄に手伝ってもらいました,帰ったあと兄はインターネットで買うのはどうだと言いました僕は一度もインターネットで買い物をした経験がないからすべてを兄に手伝ってもらいました
156,それにつれて高エネルギーの粒子が放出されて地球の磁場がめっちゃ乱れたみたいで磁気嵐が起こったらしい,これに伴って高エネルギーの粒子が放出され地球の磁場を激しくかき乱す磁気嵐が起きたオーロラも発達し普段は見られない低緯度でも見られたという形になります
157,アメリカにとって有利にことが運んだとしてもそれは結果論でありアメリカが何か目的を持って動いたわけでもなくアメリカにとっては漁夫の利であり中国にとっては墓穴を掘ったということなのではないでしょうか,アメリカにとって有利にことが運んだとしてもそれは結果論でありアメリカが何か目的を持って動いたわけでもなくアメリカにとっては漁夫の利であり中国にとっては墓穴を掘ったということなのではないでしょうか
158,racecarは右から左に呼んでも同じracecarなんです,racecarは右から左に呼んでも同じracecarなのです
159,でも障害も難しいこともありますから度夢とか希望を果たすことができません,でも障害も難しいこともありますから度夢とか希望を果たすことができません
160,ロシアで結婚届けを出した後名所を見物することになっています,ロシアで結婚届けを出された後名所を見物されることになっています
161,ここで気をつけなければならないところは日本の法律はアメリカと同じです今度の事件は日本国内法の手順で完全に裁判されました,ここで気をつけなければならないところは日本の法律はアメリカと同じです今度の事件は日本国内法の手順で完全に裁判されました
162,考えてみましょういまは中国の大事な発展の転換期わざとこんな問題を起こす必要がありますか,考えてみましょういまは中国の大事な発展の転換期わざとこんな問題を起こす必要がありますか
163,映画の中で小米さんはあまり自信がない女の子なので彼女には恋する勇気がありません,映画の中で小米さんはあまり自信がない女の子なので彼女には恋する勇気がありません
164,こんな話は年上から見ると特に意味がない普通の話にすぎないかもしれませんけど若者にとってはユーモラスなツッコミになりました,こんな話は年上から見ると特に意味がない普通の話にすぎないかもしれませんけど若者にとってはユーモラスなツッコミになりました
165,完成したら弟にコスチュームの写真を撮ってくれるように頼みます,完成したら弟にコスチュームの写真を撮ってくれるように頼みます
166,子供の時から今まで私はよく責任を引き受けて真面目な人になるように育てられています,子供の時から今まで私はよく責任を引き受けて真面目な人になるように育てられています
167,今大方クラシックギターを練習していて時エレクトリックギターを弾く,今大方クラシックギターを練習していて時エレクトリックギターを弾きます
168,私の中に鮮明に刻まれたあなたは思い出さなくとも自然と頭の中に浮かんできます,私の中に鮮明に刻まれたあなたは思い出さなくとも自然と頭の中に浮かんできます
169,彼女の声が上がったり下がったり僕がなれている話し方とぜんぜん違うものだった,彼女の声が上がったり下がったり僕がなれている話し方とぜんぜん違うものでした
